DataTime,UNIQUEID,DeviceType,Company,DeviceID,Flag,FilterFlag,EvelationFlag,Satellite,Heading,Speed,EvelationUnit,Evelation,Status,Event,Longitude,Latitude,BJ-Longitude,BJ-Latitude,TimeStamp
1427817600,201503312359_126_6512_7283925,1,33010001,,0,0,0,0,0,0,0,50,0,4,1201320100,303265600,1201367699,303242732,1427817538
1427817600,201503312359_126_6512_7283926,1,33010001,05651,0,0,0,0,45,29,0,50,1,4,1201591330,302525830,1201638139,302502449,1427817575
1427817600,201503312359_126_6512_7283927,1,33010001,02590,0,0,0,0,80,11,0,50,1,4,1201954350,302943610,1202000130,302919604,1427817538
1427817600,201503312359_126_6512_7283928,1,33010001,24256,0,0,0,0,0,8,0,50,0,4,1201739670,302238170,1201786013,302214491,1427838401
1427817600,201503312359_126_6512_7283929,1,33010001,23063,0,0,0,0,45,0,0,50,0,4,1204257330,302319000,1204302940,302296185,1427847407
1427817600,201503312359_126_6512_7283930,1,33010001,202112,0,0,0,0,0,2,0,50,0,4,1204234400,302321150,1204280048,302298358,1427817538
1427817600,201503312359_126_6512_7283931,1,33010001,,0,0,0,0,320,57,0,50,1,4,1201898040,303077830,1201943988,303053937,1427817539
1427817600,201503312359_126_6512_7283932,1,33010001,14943,0,0,0,0,340,0,0,50,1,4,1201869600,302851640,1201915611,302827772,1427817538
1427817600,201503312359_126_6512_7283933,1,33010001,22939,0,0,0,0,225,35,0,50,1,4,1201262670,302791830,1201310357,302768974,1427838401
1427817600,201503312359_126_6512_7283934,1,33010001,,0,0,0,0,0,1,0,50,1,4,1202083050,302898920,1202128495,302874711,1427817538
1427817600,201503312359_126_6512_7283935,1,33010001,25869,0,0,0,0,250,35,0,50,0,4,1202291600,303473200,1202336666,303448839,1427817538
1427817600,201503312359_126_6512_7283936,1,33010001,22607,0,0,0,0,0,38,0,50,0,4,1201750330,302505330,1201796664,302481650,1427838401
1427817600,201503312359_126_6512_7283937,1,33010001,16735,0,0,0,0,0,0,0,50,0,4,1201429000,303344830,1201476334,303321818,1427814148
1427817600,201503312359_126_6512_7283938,1,33010001,,0,0,0,0,260,37,0,50,0,4,1202233700,302085340,1202278754,302060888,1427817538
1427817600,201503312359_126_6512_7283939,1,33010001,201933,0,0,0,0,0,2,0,50,0,4,1201762300,303309170,1201808665,303285556,1427817538
1427817600,201503312359_126_6512_7283940,1,33010001,22417,0,0,0,0,45,0,0,50,0,4,1201653830,303012830,1201700495,302989381,1427847867
1427817600,201503312359_126_6512_7283941,1,33010001,25347,0,0,0,0,225,0,0,50,0,4,1201735330,302811500,1201781734,302787877,1427838401
1427817600,201503312359_126_6512_7283943,1,33010001,,0,0,0,0,360,43,0,50,1,4,1201194900,302589800,1201242704,302566991,1427817532
1427817600,201503312359_126_6512_7283944,1,33010001,,0,0,0,0,100,20,0,50,1,4,1201203400,302739580,1201251201,302716778,1427817538
1427817600,201503312359_126_6512_7283945,1,33010001,201157,0,0,0,0,0,1,0,50,0,4,1202017400,302728500,1202062994,302704370,1427817538
1427817600,201503312359_126_6512_7283946,1,33010001,,0,0,0,0,190,53,0,50,0,4,1202616000,303187800,1202660738,303163347,1427817538
1427817600,201503312359_126_6512_7283947,1,33010001,,0,0,0,0,140,23,0,50,1,4,1201076700,303052200,1201124732,303029514,1427817538
1427817600,201503312359_126_6512_7283948,1,33010001,21963,0,0,0,0,170,51,0,50,1,4,1201311340,302819920,1201358921,302797009,1427817538
1427817600,201503312359_126_6512_7283949,1,33010001,,0,0,0,0,300,41,0,50,0,4,1202194440,302876470,1202239636,302852120,1427817537
1427817600,201503312359_126_6512_7283950,1,33010001,20902,0,0,0,0,240,22,0,50,1,4,1204300200,302388840,1204345737,302365981,1427817538
1427817600,201503312359_126_6512_7283951,1,33010001,200681,0,0,0,0,0,2,0,50,0,4,1201066400,303342230,1201114471,303319586,1427817538
1427817600,201503312359_126_6512_7283952,1,33010001,20907,0,0,0,0,330,82,0,50,0,4,1201762100,302080520,1201808363,302056790,1427817429
1427817600,201503312359_126_6512_7283953,1,33010001,,0,0,0,0,40,4,0,50,1,4,1201862700,302389680,1201908693,302365783,1427817478
1427817600,201503312359_126_6512_7283954,1,33010001,01148,0,0,0,0,140,37,0,50,0,4,1200966600,303370760,1201014777,303348135,1427817538
1427817600,201503312359_126_6512_7283955,1,33010001,24502,0,0,0,0,90,0,0,50,0,4,1201805170,302342170,1201851327,302318376,1427838401
1427817600,201503312359_126_6512_7283956,1,33010001,201394,0,0,0,0,110,59,0,50,0,4,1201537600,302322300,1201584548,302299000,1427817538
1427817600,201503312359_126_6512_7283957,1,33010001,01170,0,0,0,0,280,12,0,50,0,4,1200554100,302918220,1200602133,302895130,1427817538
1427817600,201503312359_126_6512_7283958,1,33010001,20890,0,0,0,0,310,2,0,50,1,4,1201729660,302422980,1201776049,302399333,1427817538
1427817600,201503312359_126_6512_7283959,1,33010001,15082,0,0,0,0,90,32,0,50,1,4,1201418000,302859330,1201465322,302836274,1427821138
1427817600,201503312359_126_6512_7283960,1,33010001,23669,0,0,0,0,225,38,0,50,0,4,1201639670,303093330,1201686384,303069918,1427838402
1427817600,201503312359_126_6512_7283961,1,33010001,02402,0,0,0,0,80,0,0,50,0,4,1200983000,303388650,1201031165,303366028,1427817531
1427817600,201503312359_126_6512_7283962,1,33010001,24488,0,0,0,0,90,53,0,50,0,4,1201464170,303061330,1201511386,303038224,1427838402
