Census Tract,Total Population,California County,ZIP,Approximate Location,Longitude,Latitude,CES 4.0 Score,CES 4.0 Percentile,CES 4.0 Percentile Range,Ozone,Ozone Pctl,PM2.5,PM2.5 Pctl,Diesel PM,Diesel PM Pctl,Drinking Water,Drinking Water Pctl,Lead,Lead Pctl,Pesticides,Pesticides Pctl,Tox. Release,Tox. Release Pctl,Traffic,Traffic Pctl,Cleanup Sites,Cleanup Sites Pctl,Groundwater Threats,Groundwater Threats Pctl,Haz. Waste,Haz. Waste Pctl,Imp. Water Bodies,Imp. Water Bodies Pctl,Solid Waste,Solid Waste Pctl,Pollution Burden,Pollution Burden Score,Pollution Burden Pctl,Asthma,Asthma Pctl,Low Birth Weight,Low Birth Weight Pctl,Cardiovascular Disease,Cardiovascular Disease Pctl,Education,Education Pctl,Linguistic Isolation,Linguistic Isolation Pctl,Poverty,Poverty Pctl,Unemployment,Unemployment Pctl,Housing Burden,Housing Burden Pctl,Pop. Char. ,Pop. Char. Score,Pop. Char. Pctl
6037203300,2000,Los Angeles,90033,Los Angeles,-118.2077883,34.0588723,77.35,99.87,95-100% (highest scores),0.049,59.69,12.57687534,91.57,1.053,98.41,798.87,93.57,74.68,84.31,0.00,0.00,1894.993347,78.08,2125.866346,88.83,16.8,77.70,47.55,89.41,2.09,92.80,13,91.87,0.5,22.08,74.46,9.09,99.45,65.53,74.85,6.16,78.36,13.45,57.13,52.1,97.33,28.4,94.87,71.7,97.95,11.9,91.94,28.3,87.49,82.01,8.51,94.49
6037291220,3640,Los Angeles,90247,Los Angeles,-118.286709,33.8771395,77.25,99.86,95-100% (highest scores),0.041,24.88,12.0660607,82.35,0.637,94.08,805.57,94.04,66.07,74.22,66.50,74.14,19774.78971,99.52,3455.239256,97.63,16,76.73,37.55,84.71,7.28,98.84,16,96.26,4.2,70.90,81.90,10.00,100.00,64.77,74.05,7.77,95.43,12.99,53.75,31.6,81.93,20.1,86.75,51.5,83.49,4.5,37.71,26.1,82.79,74.47,7.73,86.01
6037433501,1949,Los Angeles,91733,South El Monte,-118.0651222,34.0572554,76.91,99.85,95-100% (highest scores),0.055,71.66,12.00416809,78.44,0.551,91.56,821.08,95.28,91.11,97.54,0.01,12.21,2234.535319,81.08,905.045862,51.86,19.6,81.43,198.65,99.12,0.71,78.76,4,43.78,3,63.67,72.75,8.88,99.15,65.92,75.19,5.6,66.83,16.69,74.84,52.2,97.39,31.3,96.14,61.1,92.37,12.4,93.09,32.7,94.16,83.46,8.66,95.54
6037243100,6772,Los Angeles,90059,Los Angeles,-118.2350934,33.9327963,76.85,99.84,95-100% (highest scores),0.044,35.16,12.0902374,83.73,0.805,96.76,787.94,92.53,75.63,85.29,0.00,0.00,8878.613322,96.72,2484.965675,92.41,16.9,77.77,13.15,54.66,1.22,88.10,0,0.00,0.2,9.67,63.90,7.80,94.95,129.2,97.10,9.48,99.23,26.48,98.63,44.8,93.48,12.4,69.79,73.5,98.45,15.6,97.27,41.2,99.00,94.96,9.85,99.91
6037227010,5705,Los Angeles,90011,Los Angeles,-118.2469968,34.0185256,76.65,99.82,95-100% (highest scores),0.046,46.99,12.09940492,84.39,0.565,91.89,787.94,92.53,95.59,99.57,0.00,0.00,2762.896647,83.81,832.5616204,46.50,53.15,96.40,4.55,27.78,3.065,96.24,7,66.74,7.25,83.92,70.21,8.57,98.52,68.48,77.37,5.57,66.05,21.83,93.28,63.2,99.62,28.3,94.79,68.6,96.86,8.4,77.76,39.5,98.44,86.20,8.94,97.37
6037226001,2615,Los Angeles,90021,Los Angeles,-118.2502739,34.0244835,76.52,99.81,95-100% (highest scores),0.046,46.99,12.15802236,87.29,0.629,93.86,787.94,92.53,97.66,99.96,0.00,0.00,2607.823324,83.11,2429.418553,91.94,49.05,95.60,8.6,42.16,4.435,97.45,7,66.74,9.5,89.83,75.76,9.25,99.68,72.02,79.92,5.24,58.56,13.67,58.35,44.6,93.36,28.1,94.63,71.9,98.02,9.6,84.58,40.8,98.87,79.75,8.27,92.36
6019000300,4225,Fresno ,93706,Fresno,-119.8010347,36.726462,76.40,99.80,95-100% (highest scores),0.060,82.48,13.77605928,97.36,0.693,95.22,733.95,84.39,82.05,91.09,59.94,73.38,2385.267741,81.92,641.6004036,31.51,15,74.93,22.5,71.69,0.285,47.41,0,0.00,1,35.72,68.43,8.36,97.66,139.35,98.23,8.07,96.74,22.68,94.57,38.4,88.71,14.2,75.19,70.2,97.37,NA,NA,18.8,57.86,88.15,9.14,98.51
6037433101,2464,Los Angeles,91731,El Monte,-118.0605567,34.0686907,76.26,99.79,95-100% (highest scores),0.056,74.10,11.94103408,75.21,0.355,81.64,842.55,96.23,78.02,87.47,0.60,39.66,2118.801005,80.30,2834.65939,94.99,23.4,84.81,60.8,92.66,0.42,63.07,3,33.16,2.5,59.18,74.66,9.12,99.50,60.57,69.64,7.07,90.60,15.27,68.20,42.7,92.00,35.6,97.74,43.5,74.05,8.1,76.05,27.5,85.96,80.65,8.37,93.15
6037239202,5999,Los Angeles,90001,Los Angeles,-118.2649765,33.9856783,76.24,99.77,95-100% (highest scores),0.045,39.99,12.14495497,86.78,0.232,67.39,787.94,92.53,91.13,97.56,0.00,0.00,3873.586792,88.71,1052.626827,61.29,127.95,99.66,44.6,88.05,0.56,72.97,0,0.00,6,79.95,67.23,8.21,97.09,84.75,87.60,6.38,81.88,21.32,91.86,52.9,97.61,23.3,90.58,57.5,89.66,9.1,82.33,46,99.59,89.53,9.29,98.94
6037206050,2031,Los Angeles,90023,Los Angeles,-118.2244531,34.0299036,75.99,99.76,95-100% (highest scores),0.048,50.99,12.41537427,90.54,1.141,98.79,787.94,92.53,65.25,73.23,0.00,0.00,2566.769979,82.88,3665.685846,98.11,33.55,89.94,13.75,55.64,9.24,99.23,7,66.74,23.1,98.97,76.29,9.32,99.74,51.49,58.47,10.32,99.70,12.45,50.12,43.8,92.69,22.1,89.23,58.9,90.87,9.6,84.58,25.6,81.84,78.64,8.16,91.14
6037205120,3548,Los Angeles,90023,Los Angeles,-118.2117956,34.0187546,75.72,99.75,95-100% (highest scores),0.047,50.54,12.27407804,89.42,0.571,92.08,787.94,92.53,88.26,95.63,0.00,0.00,4157.740072,90.01,928.4647117,53.66,58.65,97.18,20,68.42,22.27,99.97,7,66.74,6.5,81.19,74.56,9.10,99.49,76.1,82.76,5.88,72.85,20.87,90.15,59,99.14,22.4,89.62,82.3,99.62,3.3,21.11,26.1,82.79,80.19,8.32,92.71
6077000300,2048,San Joaquin,95203,Stockton,-121.3020724,37.952421,75.61,99.74,95-100% (highest scores),0.046,44.98,11.66075863,64.78,0.771,96.42,389.85,41.55,64.24,71.87,148.92,79.45,477.2403259,50.66,726.7471757,38.36,76.15,98.56,132.85,97.91,1.17,87.45,13,91.87,4,70.42,70.42,8.60,98.61,154.59,99.13,6.15,78.21,17.19,77.12,30.4,80.66,20.2,86.90,68.2,96.66,8.8,80.39,24.6,79.06,84.78,8.79,96.47
6037226002,1820,Los Angeles,90021,Los Angeles,-118.2477686,34.0326196,75.55,99.72,95-100% (highest scores),0.047,50.54,12.25156535,89.20,0.704,95.46,787.94,92.53,64.02,71.59,0.00,0.00,2428.106649,82.25,1931.043768,85.94,58.7,97.20,28.3,78.12,6.875,98.76,7,66.74,15.05,96.04,76.42,9.33,99.76,134.16,97.66,5.83,71.64,14.79,65.09,25.7,74.41,24.4,91.81,44.5,75.40,8.7,79.72,21.4,68.54,78.05,8.10,90.41
6019000902,5191,Fresno ,93706,Fresno,-119.8042772,36.717769,75.46,99.71,95-100% (highest scores),0.060,82.48,13.68294343,96.79,0.256,71.00,733.95,84.39,63.55,70.93,2103.60,93.21,2610.47197,83.13,347.2769377,10.86,11.7,64.87,14,56.13,0.03,4.12,0,0.00,4.25,71.13,62.48,7.63,93.64,139.35,98.23,10.18,99.63,22.68,94.57,48.4,95.67,22.8,90.04,86.7,99.85,16.2,97.85,26.1,82.79,95.36,9.89,99.92
6099003700,4669,Stanislaus ,95380,Unincorporated Stanislaus County area,-120.883606,37.4647928,75.31,99.70,95-100% (highest scores),0.056,74.10,12.11257085,85.35,0.196,61.27,856.81,96.55,53.48,56.45,6840.38,97.69,99.2162679,23.44,1013.66386,58.75,14,73.37,73.95,94.82,0.8,81.50,6,58.69,14.5,95.69,73.07,8.92,99.23,77.65,83.85,5.6,66.83,24.37,97.16,27.7,77.23,18.3,84.04,54.9,87.09,10.9,89.46,20,62.83,81.37,8.44,93.87
6019000400,5498,Fresno ,93721,Fresno,-119.7762091,36.7276563,75.30,99.68,95-100% (highest scores),0.060,82.48,13.88951512,97.69,0.674,94.87,733.95,84.39,91.92,98.08,1.75,46.59,3010.157725,84.87,1162.415629,67.00,12.15,69.19,24.5,73.97,2.39,94.20,0,0.00,0.5,22.08,71.96,8.79,98.98,106.01,94.24,6.12,77.55,18.98,84.18,41.5,91.03,14.3,75.53,68.8,96.93,17.8,98.54,14.8,37.48,82.61,8.57,94.97
6037536104,3900,Los Angeles,90280,South Gate,-118.1782284,33.9448778,75.11,99.67,95-100% (highest scores),0.045,42.56,12.04869771,81.02,0.702,95.42,668.94,73.24,93.14,98.73,0.00,0.00,6048.803101,94.07,2127.781743,88.89,109.1,99.46,55.55,91.57,4.99,97.76,10,82.97,18.75,97.94,79.14,9.66,99.94,50.83,57.69,5.48,63.90,17.7,79.51,47.7,95.18,21,87.81,40.1,69.35,9.9,85.83,23.6,75.98,74.93,7.77,86.61
6037104703,2174,Los Angeles,91331,Los Angeles,-118.4005905,34.2552325,74.98,99.66,95-100% (highest scores),0.067,97.00,11.2284956,57.21,0.576,92.20,726.64,83.13,73.82,83.38,0.00,0.00,758.059672,59.58,785.071341,43.09,43.2,94.38,51.5,90.57,1.585,90.85,4,43.78,18.2,97.71,70.78,8.64,98.76,77.81,84.01,6.74,87.09,12.79,52.73,49.9,96.46,18.7,84.71,63.4,93.92,NA,NA,34.2,95.53,83.63,8.68,95.69
6037240500,7326,Los Angeles,90003,Los Angeles,-118.275663,33.9469248,74.91,99.65,95-100% (highest scores),0.044,35.16,12.0998549,84.43,0.321,78.44,787.94,92.53,84.24,92.84,0.00,0.00,6373.313395,94.57,3154.098167,96.53,0.95,11.93,16,61.55,0.06,8.76,7,66.74,7.2,83.80,63.39,7.74,94.59,113.88,95.43,7.07,90.60,27.88,99.23,50,96.51,14.2,75.19,63.7,94.13,12.7,93.71,38.4,98.01,93.30,9.68,99.77
6037535400,3553,Los Angeles,90002,Florence-Graham,-118.2314205,33.947117,74.90,99.63,95-100% (highest scores),0.044,37.57,12.07139901,82.66,0.270,73.06,718.21,78.76,85.22,93.50,0.00,0.00,5829.563232,93.85,994.4754349,57.49,117.3,99.61,58.5,92.25,1.405,89.72,0,0.00,2.2,54.85,65.50,8.00,96.18,101.27,92.97,6.51,83.69,25.19,97.77,48.9,95.94,21.4,88.35,53.4,85.50,8.9,81.01,33.1,94.64,90.28,9.37,99.23
6071001600,5363,San Bernardino,91761,Ontario,-117.6180131,34.0577805,74.67,99.62,95-100% (highest scores),0.062,88.82,13.78516102,97.40,0.419,86.01,796.65,93.27,90.81,97.37,0.02,14.86,1415.274027,71.72,842.733027,47.28,52.5,96.32,36,83.66,3.245,96.60,4,43.78,11,92.81,77.27,9.43,99.81,60.88,70.10,5.62,67.37,18.57,82.90,48.5,95.68,31.6,96.28,63.8,94.23,3.2,19.59,29.6,89.84,76.29,7.91,88.39
6037291210,5768,Los Angeles,90247,Los Angeles,-118.2870814,33.8886904,74.44,99.61,95-100% (highest scores),0.042,26.70,12.06226955,81.93,0.693,95.23,806.80,94.24,78.27,87.74,25.99,67.83,58279.08212,99.92,2511.594785,92.75,16.65,77.45,60.3,92.51,8.38,99.10,0,0.00,15.95,96.47,78.23,9.55,99.90,70.46,78.74,5.81,71.26,13.6,58.00,25.6,74.34,18,83.35,44.3,75.11,10.3,87.39,26.8,84.46,75.13,7.79,86.81
6037570403,4832,Los Angeles,90805,Long Beach,-118.2044859,33.8778668,74.37,99.60,95-100% (highest scores),0.043,29.89,12.4277485,90.60,0.901,97.55,329.00,31.17,91.10,97.53,0.29,33.97,11027.86328,97.91,1778.158275,83.43,2,25.63,10.75,48.96,0.63,75.96,10,82.97,5,75.67,67.45,8.24,97.22,84.23,87.39,6.85,88.40,18.48,82.58,45.2,93.79,14.9,77.14,57.6,89.76,9.8,85.49,32.4,93.73,87.05,9.03,97.89
6037532302,4881,Los Angeles,90023,Commerce,-118.1751711,34.0096885,74.06,99.58,95-100% (highest scores),0.048,55.38,12.15074524,87.07,0.938,97.81,524.04,62.60,91.76,97.98,0.00,0.00,3547.573242,86.92,2783.139002,94.61,103.9,99.37,47.75,89.47,5.155,97.90,7,66.74,6.25,80.44,77.46,9.46,99.84,56.57,64.84,6.38,81.88,18.99,84.21,43.5,92.52,21.2,88.00,50.1,81.91,6.4,61.53,16.4,46.02,75.49,7.83,87.25
6037542200,7155,Los Angeles,90221,Compton,-118.1971508,33.8868935,73.92,99.57,95-100% (highest scores),0.043,29.89,12.21728053,88.65,0.478,89.00,495.60,60.16,95.13,99.46,0.04,20.31,10830.04993,97.85,2630.563134,93.64,4.7,41.28,24.3,73.78,0.925,83.94,7,66.74,1.6,42.50,68.80,8.40,97.83,92.82,90.43,5.85,72.08,23.89,96.51,37.4,87.67,14.5,76.07,54.7,86.86,9.4,83.63,25.9,82.41,84.83,8.80,96.52
6037534202,5748,Los Angeles,90201,Bell Gardens,-118.1611103,33.959603,73.82,99.56,95-100% (highest scores),0.046,46.99,12.02968272,79.99,0.152,51.72,514.47,61.90,83.88,92.51,15.65,63.69,5064.103231,92.55,755.4452536,40.89,5.3,43.24,14,56.13,2.67,95.13,10,82.97,3.2,64.40,66.98,8.18,96.99,54.25,62.08,6.21,79.19,23.93,96.68,53.5,97.84,20.7,87.51,80.1,99.48,11.8,91.79,36.3,97.03,87.02,9.03,97.87
6037531302,6215,Los Angeles,90023,East Los Angeles,-118.1827241,34.0169019,73.71,99.55,95-100% (highest scores),0.048,55.38,12.21812171,88.66,0.584,92.52,673.57,74.21,94.88,99.42,0.00,0.00,3287.703288,85.86,2649.188078,93.79,36.85,91.90,12.6,53.23,2.39,94.20,7,66.74,2.5,59.18,73.50,8.97,99.30,62.39,71.73,5.75,69.99,17.48,78.25,49.1,96.04,31,96.09,56.4,88.53,6.6,63.42,25.3,81.04,79.17,8.21,91.65
6029002500,9052,Kern ,93307,Bakersfield,-118.9920281,35.3372541,73.36,99.53,95-100% (highest scores),0.066,95.27,16.39474779,100.00,0.091,34.24,753.64,85.68,76.95,86.49,2.14,48.14,40.29639943,16.62,649.8318905,32.13,40.4,93.49,43.75,87.75,4.625,97.56,0,0.00,8.6,87.81,65.99,8.06,96.53,82.69,86.86,6.17,78.56,22.78,94.92,39.9,89.86,18.6,84.54,65.3,95.18,24.4,99.71,23.1,74.52,87.77,9.10,98.31
6037242600,4756,Los Angeles,90059,Los Angeles,-118.2502423,33.932376,73.34,99.52,95-100% (highest scores),0.044,35.16,12.0688233,82.53,0.841,97.09,787.94,92.53,83.98,92.63,0.00,0.00,8898.52661,96.75,3529.731022,97.81,0,0.00,1.5,10.64,0.135,23.72,7,66.74,5,75.67,61.33,7.49,92.51,136.47,98.07,6.99,89.80,27.86,99.08,50.9,96.90,13.9,74.10,86.9,99.86,17.8,98.54,35.7,96.63,94.43,9.80,99.85
6037242700,6035,Los Angeles,90059,Los Angeles,-118.2426486,33.9363535,73.33,99.51,95-100% (highest scores),0.044,35.16,12.07407493,82.81,0.522,90.69,787.94,92.53,82.12,91.12,0.00,0.00,8065.676676,96.26,1794.888252,83.74,4.55,40.87,7.5,39.45,0.45,65.92,7,66.74,0.5,22.08,63.36,7.74,94.55,110.5,94.97,8.37,97.73,23.51,95.99,44.4,93.10,10.9,65.19,66.5,95.80,8.6,78.97,45.6,99.56,91.38,9.48,99.42
6037206032,5687,Los Angeles,90033,Los Angeles,-118.2246242,34.046259,73.31,99.50,95-100% (highest scores),0.048,53.73,12.55763366,91.44,1.068,98.48,787.94,92.53,80.24,89.48,0.00,0.00,2124.592977,80.40,2360.78323,91.16,68,97.97,15.55,60.45,2.115,92.96,7,66.74,2,52.90,74.50,9.10,99.46,79.94,85.11,4.91,49.91,16.72,74.91,46.2,94.37,42.3,98.90,66.8,95.94,4.8,41.84,34.8,95.97,77.69,8.06,89.81
6037542401,4735,Los Angeles,90221,Compton,-118.2109036,33.8923624,73.16,99.48,95-100% (highest scores),0.043,29.89,12.15347903,87.12,0.256,70.98,459.74,55.31,96.26,99.75,0.00,0.00,13561.58,98.65,802.7858005,44.50,7.4,51.25,30.75,80.34,1.525,90.48,10,82.97,3.5,66.69,65.30,7.97,96.08,95.67,91.50,6.29,80.16,24.68,97.53,34.1,84.37,13.2,71.92,54.8,86.97,19.9,99.23,32.2,93.46,88.46,9.18,98.68
6037203500,2907,Los Angeles,90033,Los Angeles,-118.2185819,34.057226,73.09,99.47,95-100% (highest scores),0.049,56.96,12.84192716,93.07,0.956,97.90,761.16,86.59,89.23,96.14,0.00,0.00,1984.473328,79.07,3196.052323,96.70,78.65,98.66,39.85,85.90,5.08,97.86,7,66.74,0,0.00,73.81,9.01,99.34,81.13,85.73,6.02,75.56,16.94,75.69,33,83.45,22.4,89.62,65.4,95.24,3.9,29.41,29.1,89.09,78.18,8.11,90.53
6037239201,3753,Los Angeles,90003,Los Angeles,-118.2771699,33.9857805,72.93,99.46,95-100% (highest scores),0.045,39.99,12.05259566,81.32,0.784,96.59,787.94,92.53,91.64,97.87,0.00,0.00,3780.143188,88.15,3970.780012,98.68,27.6,87.66,19.05,66.96,0.225,39.77,0,0.00,1.25,38.99,65.15,7.96,95.96,113.88,95.43,6.38,81.88,27.88,99.23,51.8,97.29,18.3,84.04,52.7,84.95,6,57.25,43.6,99.39,88.38,9.17,98.60
6037219902,3809,Los Angeles,90016,Los Angeles,-118.368517,34.02931,72.78,99.45,95-100% (highest scores),0.046,44.98,11.84882762,71.23,0.357,81.84,787.94,92.53,79.91,89.17,0.14,28.28,2039.298991,79.77,2253.086852,90.24,7.1,50.56,30,79.69,1.045,85.64,7,66.74,2.5,59.18,70.96,8.66,98.78,88.26,89.11,8.33,97.66,15.22,67.81,32,82.46,13.7,73.37,46.1,77.58,6.2,59.38,31.6,92.71,80.98,8.40,93.49
6037534201,4768,Los Angeles,90201,Bell Gardens,-118.1672627,33.9580353,72.69,99.43,95-100% (highest scores),0.046,46.99,12.02968272,79.99,0.884,97.41,514.47,61.90,86.03,94.08,7.89,58.34,5507.243246,93.32,3172.78691,96.60,23.7,85.05,27.5,77.47,4.235,97.30,10,82.97,1.95,44.54,78.21,9.55,99.89,54.25,62.08,5.02,52.85,23.93,96.68,48.4,95.67,22.7,89.93,61.9,92.94,2.7,13.18,29.3,89.38,73.38,7.61,84.35
6019001201,5935,Fresno ,93725,Calwa,-119.7577716,36.7107523,72.68,99.42,95-100% (highest scores),0.060,82.48,13.96295871,97.88,0.233,67.65,733.95,84.39,78.43,87.89,0.00,0.00,11801.76794,98.16,470.2217476,18.66,91.8,99.10,82.55,95.48,2.1,92.85,0,0.00,21,98.49,70.49,8.61,98.66,104.05,93.77,5.26,59.19,16.42,73.70,50.1,96.58,19.9,86.44,59.4,91.27,16,97.58,20.4,64.46,81.41,8.44,93.92
6077000801,7624,San Joaquin,95203,Stockton,-121.3145235,37.9405169,72.68,99.41,95-100% (highest scores),0.046,46.99,11.33220316,58.33,0.540,91.21,389.85,41.55,50.39,52.17,34.50,69.93,2627.116699,83.25,1078.530592,62.88,33.1,89.79,100.85,96.65,0.665,77.10,21,98.72,7.5,84.74,71.99,8.79,99.00,115.72,95.59,6.38,81.88,20.37,88.52,36.6,86.95,13,71.39,51.9,84.12,5.6,52.52,19,58.77,79.71,8.27,92.32
6037540700,3230,Los Angeles,90059,Willowbrook,-118.2453429,33.9255436,72.57,99.39,95-100% (highest scores),0.043,32.15,12.09535727,84.12,0.351,81.13,434.02,50.67,84.87,93.25,0.00,0.00,11159.9799,97.94,2114.729333,88.71,5.25,43.19,18,65.32,1.9,92.26,7,66.74,1.25,38.99,64.43,7.87,95.38,120.42,95.96,6.79,87.55,24.35,97.13,41.9,91.33,14.1,74.76,61.4,92.60,13,94.31,21.4,68.54,88.93,9.22,98.79
6037540901,4904,Los Angeles,90061,West Rancho Dominguez,-118.2717325,33.9194635,72.25,99.38,95-100% (highest scores),0.043,29.89,12.11292708,85.39,0.590,92.68,613.54,69.13,93.80,99.11,0.00,0.00,12166.54639,98.26,1070.013824,62.26,13.05,71.67,33.1,82.17,0.635,76.20,0,0.00,5.5,77.62,65.24,7.97,96.02,121.6,96.06,8.26,97.45,19.26,85.14,45.6,94.04,17.7,82.64,45.9,77.31,6,57.25,40.6,98.78,87.44,9.07,98.15
6037533806,3794,Los Angeles,90201,Bell,-118.1704919,33.9722323,72.00,99.37,95-100% (highest scores),0.046,46.99,12.04351864,80.80,1.088,98.57,696.73,77.62,89.27,96.16,7.82,58.28,4605.206706,91.52,5116.249847,99.73,17,78.01,10.75,48.96,0.77,80.69,7,66.74,0,0.00,72.43,8.84,99.07,54.25,62.08,5.02,52.85,23.93,96.68,53.9,97.91,20.1,86.75,55.4,87.54,10,86.19,22.9,73.73,78.48,8.14,90.94
6029002200,5633,Kern ,93307,Bakersfield,-118.9879161,35.3613217,71.91,99.36,95-100% (highest scores),0.065,93.63,15.91452262,99.88,0.286,74.98,625.12,70.31,80.54,89.77,0.00,0.00,26.04519973,13.02,681.9583609,34.69,11,63.70,15,59.60,4.51,97.49,0,0.00,5.2,76.36,59.50,7.26,90.23,84.72,87.56,8.51,98.01,23.51,95.99,59,99.14,29.5,95.44,76.5,98.99,27.3,99.86,30.6,91.46,95.42,9.90,99.96
