"GEO_ID","NAME","B03002_001E","B03002_001EA","B03002_001M","B03002_001MA","B03002_002E","B03002_002EA","B03002_002M","B03002_002MA","B03002_003E","B03002_003EA","B03002_003M","B03002_003MA","B03002_004E","B03002_004M","B03002_004MA","B03002_004EA","B03002_005E","B03002_005EA","B03002_005M","B03002_005MA","B03002_006E","B03002_006EA","B03002_006M","B03002_006MA","B03002_007E","B03002_007M","B03002_007MA","B03002_007EA","B03002_008E","B03002_008EA","B03002_008M","B03002_008MA","B03002_009E","B03002_009EA","B03002_009M","B03002_009MA","B03002_010E","B03002_010EA","B03002_010M","B03002_010MA","B03002_011E","B03002_011EA","B03002_011M","B03002_011MA","B03002_012E","B03002_012M","B03002_012MA","B03002_012EA","B03002_013E","B03002_013EA","B03002_013M","B03002_013MA","B03002_014E","B03002_014EA","B03002_014M","B03002_014MA","B03002_015E","B03002_015EA","B03002_015M","B03002_015MA","B03002_016E","B03002_016M","B03002_016MA","B03002_016EA","B03002_017E","B03002_017EA","B03002_017M","B03002_017MA","B03002_018E","B03002_018EA","B03002_018M","B03002_018MA","B03002_019E","B03002_019EA","B03002_019M","B03002_019MA","B03002_020E","B03002_020M","B03002_020MA","B03002_020EA","B03002_021E","B03002_021M","B03002_021MA","B03002_021EA",
"1400000US06001442700","Census Tract 4427, Alameda County, California","3035","null","559","null","2617","null","561","null","991","null","181","null","131","110","null","null","20","null","31","null","1423","null","540","null","0","13","null","null","0","null","13","null","52","null","35","null","0","null","13","null","52","null","35","null","418","145","null","null","235","null","136","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","67","null","45","null","116","null","82","null","116","82","null","null","0","13","null","null",
"1400000US06001442800","Census Tract 4428, Alameda County, California","2994","null","408","null","2421","null","409","null","943","null","202","null","104","100","null","null","3","null","5","null","1255","null","397","null","0","13","null","null","7","null","10","null","109","null","64","null","27","null","29","null","82","null","54","null","573","215","null","null","185","null","104","null","0","null","13","null","0","null","13","null","48","46","null","null","0","null","13","null","309","null","208","null","31","null","32","null","11","13","null","null","20","29","null","null",
"1400000US06001442900","Census Tract 4429, Alameda County, California","8084","null","1177","null","6857","null","1173","null","1738","null","694","null","294","237","null","null","111","null","142","null","4465","null","1036","null","84","84","null","null","38","null","68","null","127","null","91","null","34","null","43","null","93","null","79","null","1227","308","null","null","407","null","338","null","0","null","19","null","0","null","19","null","0","19","null","null","0","null","19","null","267","null","216","null","553","null","276","null","245","206","null","null","308","258","null","null",
"1400000US06001443001","Census Tract 4430.01, Alameda County, California","2832","null","417","null","1996","null","362","null","466","null","102","null","131","82","null","null","6","null","13","null","1248","null","376","null","83","81","null","null","9","null","15","null","53","null","31","null","18","null","20","null","35","null","28","null","836","227","null","null","198","null","155","null","0","null","13","null","0","null","13","null","4","7","null","null","11","null","18","null","445","null","107","null","178","null","122","null","107","79","null","null","71","94","null","null",
"1400000US06001443002","Census Tract 4430.02, Alameda County, California","6932","null","751","null","5665","null","659","null","1001","null","236","null","161","185","null","null","5","null","10","null","4294","null","663","null","6","11","null","null","78","null","82","null","120","null","71","null","6","null","12","null","114","null","72","null","1267","402","null","null","319","null","281","null","0","null","19","null","10","null","20","null","0","19","null","null","0","null","19","null","569","null","193","null","369","null","293","null","161","120","null","null","208","232","null","null",
"1400000US06001443102","Census Tract 4431.02, Alameda County, California","5019","null","448","null","4746","null","446","null","665","null","148","null","26","34","null","null","0","null","19","null","3907","null","441","null","18","27","null","null","24","null","39","null","106","null","61","null","0","null","19","null","106","null","61","null","273","119","null","null","82","null","52","null","0","null","19","null","0","null","19","null","0","19","null","null","0","null","19","null","49","null","58","null","142","null","98","null","60","41","null","null","82","73","null","null",
"1400000US06001443103","Census Tract 4431.03, Alameda County, California","4097","null","672","null","3978","null","680","null","813","null","601","null","3","10","null","null","28","null","27","null","2998","null","389","null","0","13","null","null","0","null","13","null","136","null","92","null","4","null","11","null","132","null","91","null","119","91","null","null","31","null","46","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","44","null","64","null","44","null","48","null","36","44","null","null","8","13","null","null",
"1400000US06001443104","Census Tract 4431.04, Alameda County, California","5511","null","692","null","5456","null","691","null","796","null","282","null","294","382","null","null","0","null","19","null","4234","null","517","null","56","66","null","null","0","null","19","null","76","null","73","null","0","null","19","null","76","null","73","null","55","57","null","null","25","null","38","null","0","null","19","null","0","null","19","null","0","19","null","null","0","null","19","null","0","null","19","null","30","null","39","null","30","39","null","null","0","19","null","null",
"1400000US06001443105","Census Tract 4431.05, Alameda County, California","4808","null","616","null","4681","null","626","null","530","null","125","null","41","39","null","null","0","null","13","null","3981","null","646","null","33","45","null","null","0","null","13","null","96","null","70","null","0","null","13","null","96","null","70","null","127","124","null","null","15","null","17","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","112","null","126","null","0","null","13","null","0","13","null","null","0","13","null","null",
"1400000US06001443200","Census Tract 4432, Alameda County, California","4157","null","710","null","4124","null","710","null","657","null","121","null","0","13","null","null","9","null","14","null","3296","null","706","null","7","11","null","null","0","null","13","null","155","null","107","null","38","null","60","null","117","null","85","null","33","26","null","null","11","null","16","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","9","null","14","null","13","null","15","null","13","15","null","null","0","13","null","null",
