CASE_ID,PARTY_NUMBER,VICTIM_NUMBER,VICTIM_ROLE,VICTIM_SEX,VICTIM_AGE,VICTIM_DEGREE_OF_INJURY,VICTIM_SEATING_POSITION,VICTIM_SAFETY_EQUIP_1,VICTIM_SAFETY_EQUIP_2,VICTIM_EJECTED,COUNTY,CITY,ACCIDENT_YEAR
8763843,1,1,4,M,16,4,9,M,A,0,ALAMEDA,OAKLAND,2018
8831889,2,1,3,M,70,3,9,-,-,3,ALAMEDA,OAKLAND,2019
9306432,1,1,3,-,69,2,-,-,-,-,ALAMEDA,OAKLAND,2021
9323842,1,1,3,-,4,4,-,-,-,-,ALAMEDA,OAKLAND,2021
9435397,2,1,3,F,29,4,-,-,-,-,ALAMEDA,OAKLAND,2022
9456859,2,1,3,F,56,4,1,P,B,0,ALAMEDA,OAKLAND,2022
8589395,2,1,3,F,67,4,9,-,-,3,ALAMEDA,OAKLAND,2018
8589395,3,1,3,M,69,4,9,-,-,3,ALAMEDA,OAKLAND,2018
8631675,1,1,2,F,17,4,3,L,G,0,ALAMEDA,OAKLAND,2018
8631675,1,2,2,F,20,4,4,L,G,0,ALAMEDA,OAKLAND,2018
8631675,3,1,1,F,57,4,1,L,G,0,ALAMEDA,OAKLAND,2018
8631675,3,2,2,F,35,4,4,L,G,0,ALAMEDA,OAKLAND,2018
8631675,3,3,2,M,30,0,3,L,G,0,ALAMEDA,OAKLAND,2018
8631675,4,1,3,M,43,3,9,-,-,0,ALAMEDA,OAKLAND,2018
8689761,1,1,3,F,32,4,9,P,H,0,ALAMEDA,OAKLAND,2018
8778334,2,1,3,M,30,4,9,-,-,3,ALAMEDA,OAKLAND,2018
8851934,2,1,4,M,57,4,1,P,V,0,ALAMEDA,OAKLAND,2019
8902746,2,1,4,M,37,4,9,M,W,3,ALAMEDA,OAKLAND,2019
91167266,1,1,3,M,35,1,9,-,-,-,ALAMEDA,OAKLAND,2019
91167266,3,1,1,M,43,6,1,L,G,0,ALAMEDA,OAKLAND,2019
8958140,1,1,4,M,53,4,1,P,V,1,ALAMEDA,OAKLAND,2019
8958140,2,1,2,F,13,0,6,M,G,0,ALAMEDA,OAKLAND,2019
8976839,2,1,4,F,34,3,9,N,W,0,ALAMEDA,OAKLAND,2019
9258015,2,1,3,M,20,4,-,-,-,-,ALAMEDA,OAKLAND,2020
9426458,1,1,4,-,44,4,-,P,A,1,ALAMEDA,OAKLAND,2022
9449701,2,1,3,M,53,4,-,P,A,0,ALAMEDA,OAKLAND,2022
9490966,2,1,3,M,54,2,-,-,-,0,ALAMEDA,OAKLAND,2022
8637842,2,1,4,F,61,3,9,P,V,3,ALAMEDA,OAKLAND,2018
8641295,2,1,3,F,30,3,9,-,-,0,ALAMEDA,OAKLAND,2018
8742966,1,1,4,M,24,4,9,P,W,1,ALAMEDA,OAKLAND,2018
8754043,2,1,3,M,19,4,9,P,-,0,ALAMEDA,OAKLAND,2018
8950165,2,1,4,M,61,3,9,P,V,1,ALAMEDA,OAKLAND,2019
9026673,2,1,3,F,70,2,9,N,-,0,ALAMEDA,OAKLAND,2019
8565933,2,1,3,F,51,3,9,-,-,3,ALAMEDA,OAKLAND,2018
8577537,2,1,3,M,55,2,2,-,-,3,ALAMEDA,OAKLAND,2018
8597723,2,1,3,F,53,4,9,-,-,0,ALAMEDA,OAKLAND,2018
8599332,1,1,4,M,49,4,9,P,V,0,ALAMEDA,OAKLAND,2018
8617442,2,1,3,M,46,4,1,P,A,0,ALAMEDA,OAKLAND,2018
8617465,2,1,3,M,81,2,9,-,-,3,ALAMEDA,OAKLAND,2018
8617515,2,1,3,M,54,3,9,P,B,0,ALAMEDA,OAKLAND,2018
8627751,1,1,4,M,13,4,1,P,X,0,ALAMEDA,OAKLAND,2018
8634083,2,1,3,F,16,2,9,-,-,3,ALAMEDA,OAKLAND,2018
8634083,3,1,3,F,16,4,9,-,-,3,ALAMEDA,OAKLAND,2018
8634083,4,1,3,F,17,3,9,-,-,3,ALAMEDA,OAKLAND,2018
8641307,2,1,3,F,58,4,9,-,-,0,ALAMEDA,OAKLAND,2018
8647206,2,1,3,F,67,4,9,-,-,3,ALAMEDA,OAKLAND,2018
8653978,1,1,3,M,38,4,9,-,-,0,ALAMEDA,OAKLAND,2018
8657668,2,1,3,M,49,3,1,M,H,0,ALAMEDA,OAKLAND,2018
8674920,2,1,3,M,23,2,9,P,-,0,ALAMEDA,OAKLAND,2018
8690078,1,1,2,F,21,0,4,M,G,0,ALAMEDA,OAKLAND,2018
8690078,1,2,2,M,28,0,3,M,G,0,ALAMEDA,OAKLAND,2018
8690078,2,1,3,F,24,4,9,-,-,2,ALAMEDA,OAKLAND,2018
8690660,2,1,4,M,55,3,1,P,V,0,ALAMEDA,OAKLAND,2018
8695059,3,1,3,F,54,4,9,-,-,3,ALAMEDA,OAKLAND,2018
8695090,1,1,3,M,21,3,9,-,-,3,ALAMEDA,OAKLAND,2018
8706688,2,1,3,-,37,4,9,-,-,0,ALAMEDA,OAKLAND,2018
8706716,2,1,3,F,55,3,9,-,-,0,ALAMEDA,OAKLAND,2018
8717548,2,1,3,F,34,4,9,L,-,0,ALAMEDA,OAKLAND,2018
8717572,1,1,3,M,7,2,9,-,-,0,ALAMEDA,OAKLAND,2018
8717572,2,1,2,F,60,0,3,M,G,0,ALAMEDA,OAKLAND,2018
8719251,1,1,3,M,3,3,9,P,A,0,ALAMEDA,OAKLAND,2018
8731167,1,1,1,M,26,4,1,M,G,0,ALAMEDA,OAKLAND,2018
8731167,1,2,2,M,29,4,3,M,G,0,ALAMEDA,OAKLAND,2018
8731167,1,3,2,M,28,4,4,M,G,0,ALAMEDA,OAKLAND,2018
8731167,2,1,1,M,34,4,1,L,G,0,ALAMEDA,OAKLAND,2018
8731167,2,2,2,M,36,4,3,L,G,0,ALAMEDA,OAKLAND,2018
8731167,7,1,3,F,24,4,9,-,-,0,ALAMEDA,OAKLAND,2018
8733994,1,1,3,M,48,4,9,P,A,0,ALAMEDA,OAKLAND,2018
8733994,2,1,2,F,31,0,3,M,G,0,ALAMEDA,OAKLAND,2018
